Query,SQLIA
"1 or extractvalue  (  1297,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  1297  =  1297,1   )    )     )  ,0x717a767a71   )    )   # ogwe",True
"   SELECT sat, exact, classroom FROM clean WHERE music  IS NULL",False
"1' OR NOT ORD(MID((SELECT IFNULL(CAST(avatar AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 0,1),13,1))>104 AND 'epJT'='epJT",True
SELECT * FROM behavior,False
47609,False
"   SELECT couple, moment, veryFROM bean WHERE outside  IS NOT NULL",False
portomarn,False
SELECT * FROM pull FETCH FIRST 50 PERCENT ROWS ONLY,False
bacio bonnin,False
carron,False
almendros,False
SELECT poet ( s )  FROM question,False
"c/ veinat de cerdanyola, 3 6e",False
c5fra98,False
22390,False
"1' OR NOT ORD(MID((SELECT IFNULL(CAST(first_name AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 0,1),2,1))>98 AND 'CRxB'='CRxB",True
SELECT MIN ( hall )  AS thing FROM either,False
nona,False
FROM  ( SELECT column_name FROM table_name ORDER BY column_name  )  WHERE ROWNUM < =  number ;,False
"1'||  (  select 'gtri' from dual where 7097  =  7097 and elt  (  1210  =  1210,sleep  (  5   )    )     )  ||'",True
makazaga millares,False
SELECT TOP 50 PERCENT * FROM seed,False
SELECT COUNT ( underline )  FROM did,False
SELECT AVG ( pocket ) FROM air SELECT SUM ( complete ) ,False
"1"" and   (  select * from   (  select  (  sleep  (  5   )    )     )  fzno  )   and ""gddl"" like ""gddl",True
--SELECT * FROM Customers;,False
1 and 7533  =  7533# absp,True
1   )    )    as bvij where 7913  =  7913,True
"  SELECT MICROSECOND ( ""23:59:59.000045"" ) ;",False
"1""  )   and 8148  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )   --",True
manzanilla,False
